local	gen	bloco	np	bact	antfo	antva	manfo	manva	rend	mmg	def	dem
CH2ES	BRS Notável	2	95	4	1	1	4	2	3219,12835249042	253,351724137931	28	82
CH2ES	BRS Notável	3	97	3	1	1	3	1	3519,79565772669	261,222988505747	29	87
CH2ES	BRS Notável	4	77	5	1	1	4	3	2554,91060025543	251,291954022989	28	87
IT2ES	BRS Notável	1	77	NA	1	NA	6	2	2561,3	270,3	34	85
IT2ES	BRS Notável	2	73	NA	1	NA	4	2	2130,8	218,6	34	88
IT2ES	BRS Notável	3	79	NA	1	NA	6	4	2951,3	231,4	38	91
IT2ES	BRS Notável	4	72	NA	1	NA	7	3	3202,7	285,1	38	93
UR2ES	BRS Notável	1	72	1	1	1	6	6	2426,25	NA	41	94
UR2ES	BRS Notável	2	61	1	1	1	6	6	2296,82	NA	41	94
UR2ES	BRS Notável	3	52	1	1	1	6	5	2791,23	NA	41	94
UR2ES	BRS Notável	4	56	1	1	1	5	5	1791,57	NA	41	89
XA2ES	BRS Notável	1	68	3	3	2	5	3	2975,49169859515	NA	NA	NA
XA2ES	BRS Notável	2	82	3	3	3	4	5	3202,74904214559	NA	NA	NA
XA2ES	BRS Notável	3	91	1	2	1	2	3	3584,72222222222	NA	NA	NA
XA2ES	BRS Notável	4	95	3	2	1	4	1	3012,92464878672	NA	NA	NA
CH1ES	CHC 04-230-01	1	95	4	1	1	1	1	3708,8122605364	234,666666666667	36	95
CH1ES	CHC 04-230-01	2	90	1	1	1	1	1	4260,45977011494	237,793103448276	37	95
CH1ES	CHC 04-230-01	3	95	3	1	1	1	1	4313,24712643678	237,51724137931	36	95
CH1ES	CHC 04-230-01	4	79	4	1	1	1	1	3313,53448275862	239,172413793103	37	95
PS1ES	CHC 04-230-01	1	92	7	1	4	2	2	5298,33	233,19	NA	NA
CA1ES	CHC 04-230-01	1	74	5	1	1	1	1	3539,07407407407	224,266666666667	42	98
CA1ES	CHC 04-230-01	2	74	1	1	5	5	1	3172,87675606641	221,583908045977	42	94
CA1ES	CHC 04-230-01	3	67	4	1	4	4	1	3272,25415070243	216,131034482759	42	98
CA1ES	CHC 04-230-01	4	73	4	1	1	3	1	2417,52873563218	223,655172413793	41	98
CN1ES	CHC 04-230-01	1	95	NA	NA	NA	NA	NA	3545,33844189017	220,689655172414	36	84
CN1ES	CHC 04-230-01	2	91	NA	NA	NA	NA	NA	3667,86398467433	221,137931034483	36	84
CN1ES	CHC 04-230-01	3	93	NA	NA	NA	NA	NA	3797,50957854406	211,540229885057	37	84
CN1ES	CHC 04-230-01	4	88	NA	NA	NA	NA	NA	3185,02873563218	222,406896551724	36	84
CH2ES	CHC 04-230-01	1	84	5	1	1	4	3	2611,55172413793	210,972413793103	30	93
CH2ES	CHC 04-230-01	2	98	6	1	1	3	3	2391,06002554278	211,28275862069	31	87
CH2ES	CHC 04-230-01	3	108	7	1	1	4	2	2537,74904214559	204,342528735632	29	82
CH2ES	CHC 04-230-01	4	100	5	1	1	4	4	2798,62707535121	211,28275862069	32	87
IT2ES	CHC 04-230-01	1	76	NA	1	NA	6	3	3459,0	249,2	36	87
IT2ES	CHC 04-230-01	2	74	NA	1	NA	4	3	1834,9	159,3	38	91
IT2ES	CHC 04-230-01	3	77	NA	1	NA	4	3	1922,0	156,0	38	101
IT2ES	CHC 04-230-01	4	80	NA	1	NA	6	3	1725,9	174,2	38	101
UR2ES	CHC 04-230-01	1	52	1	1	1	6	6	2174,71	NA	41	94
XA2ES	CHC 04-230-01	1	83	3	4	1	4	5	2694,37420178799	NA	NA	NA
XA2ES	CHC 04-230-01	2	88	3	2	1	4	3	2486,1717752235	NA	NA	NA
XA2ES	CHC 04-230-01	3	93	3	4	1	4	1	2478,16091954023	NA	NA	NA
XA2ES	CHC 04-230-01	4	97	4	5	1	3	4	1801,74010217114	NA	NA	NA
PS1ES	CHC 04-230-01	2	86	7	2	6	1	3	4362,21	232,80	NA	NA
PS1ES	CHC 04-230-01	3	93	7	1	4	5	5	4480,95	219,75	NA	NA
PS1ES	CHC 04-230-01	4	85	6	2	6	7	4	4799,65	238,94	NA	NA
UR2ES	CHC 04-230-01	2	54	1	1	1	5	4	1955,04	NA	41	94
UR2ES	CHC 04-230-01	3	71	1	1	1	6	5	2037,78	NA	41	94
UR2ES	CHC 04-230-01	4	64	1	1	1	6	4	2668,21	NA	41	94
CH1ES	IAC Diplomata	1	96	3	1	1	1	1	3704,50830140485	235,811494252874	41	95
CH1ES	IAC Diplomata	2	88	1	1	1	1	1	3494,72541507024	239,448275862069	41	95
CH1ES	IAC Diplomata	3	108	1	1	1	1	1	2829,2975734355	233,829885057471	41	95
CH1ES	IAC Diplomata	4	96	1	1	1	1	1	3143,8122605364	254,822988505747	41	95
CA1ES	IAC Diplomata	1	76	1	1	3	6	1	2870,56832694764	231,388505747126	42	98
CA1ES	IAC Diplomata	2	69	5	1	3	3	1	2474,37420178799	212,27816091954	42	94
CA1ES	IAC Diplomata	3	76	3	1	1	4	1	2495,11494252874	253,551724137931	42	94
CA1ES	IAC Diplomata	4	74	4	1	1	3	1	2976,78480204342	237,271264367816	42	98
CN1ES	IAC Diplomata	1	94	NA	NA	NA	NA	NA	2380,62579821201	262,636781609195	37	84
CN1ES	IAC Diplomata	2	66	NA	NA	NA	NA	NA	2125,82056194125	251,629885057471	35	84
CN1ES	IAC Diplomata	3	87	NA	NA	NA	NA	NA	2806,90932311622	249,825287356322	37	84
CN1ES	IAC Diplomata	4	82	NA	NA	NA	NA	NA	2504,44444444444	235,2	35	84
CH2ES	IAC Diplomata	1	102	5	1	2	4	2	2067,72349936143	219,108045977011	31	87
CH2ES	IAC Diplomata	2	97	4	1	1	4	2	1948,8122605364	207,28275862069	31	93
