"","local","rep","block","gen","ap","ae","acam","prolif","dec","prod"
"279",1,2,24,292,264,141.6,1,0,0,5591.55172413793
"280",1,2,24,205,273,142.8,1,0,1,5632.18390804598
"281",1,2,24,285,272,152,0,0,0,6541.83908045977
"282",1,2,24,332,262.8,149.8,0,0,0,6850.21551724138
"283",1,2,24,343,249,141,1,0,2,5635
"284",1,2,24,330,267.4,165.4,1,0,2,6412.24137931035
"285",1,2,24,247,264,149,0,0,2,7090.01436781609
"286",1,2,24,312,243,140.2,0,0,0,5336.23563218391
"287",1,2,24,313,260,149.2,2,1,0,7132.72988505747
"288",1,2,24,288,271,137,3,0,0,6272.71551724138
"289",1,3,25,318,242,126,1,0,1,4779.31034482759
"290",1,3,25,271,246,144,1,0,1,6347.58620689655
"291",1,3,25,307,254,133,1,0,3,4333.66379310345
"292",1,3,25,308,253,134,0,1,1,5767.27011494253
"293",1,3,25,250,230,138,0,1,5,7717.78735632184
"294",1,3,25,290,246,133,1,0,2,6847.12643678161
"295",1,3,25,343,257,140,0,0,4,4700.86206896552
"296",1,3,25,267,247,141,0,1,4,8750
"297",1,3,25,257,218,133,0,0,4,7846.12068965517
"298",1,3,25,254,228,128,0,0,0,5827.21264367816
"299",1,3,25,291,239,139,1,0,3,7703.01724137931
"300",1,3,25,309,275,148,0,0,3,6857.88793103448
"301",1,3,26,335,275,159,0,0,0,6427.72988505747
"302",1,3,26,317,249,145,1,1,3,5346.98275862069
"303",1,3,26,222,214,141,0,0,5,6857.88793103448
"304",1,3,26,259,275,145,0,1,2,6646.40804597701
"305",1,3,26,253,269,146,0,1,8,7803.90804597701
"306",1,3,26,338,244,139,1,0,3,6987.93103448276
"307",1,3,26,270,250,139,0,0,4,7346.17816091954
"308",1,3,26,203,264,147,2,0,5,5550.48850574713
"309",1,3,26,233,242,139,1,1,6,6674.56896551724
"310",1,3,26,312,219,119,1,0,0,4550
"311",1,3,26,240,242,139,0,0,3,6381.62356321839
"312",1,3,26,275,226,120,0,1,4,7151.89655172414
"313",1,3,27,261,236,132,1,0,4,4907.34195402299
"314",1,3,27,231,250,141,1,0,4,5898.18965517241
"315",1,3,27,298,249,133,0,1,6,4888.33333333333
"316",1,3,27,320,239,132,0,1,6,5805.1724137931
"317",1,3,27,337,249,132,1,0,4,6879.78448275862
"318",1,3,27,238,244,140,0,1,5,6096.55172413793
"319",1,3,27,258,250,134,0,0,5,6102.87356321839
"320",1,3,27,218,234,135,1,1,1,6577.88793103448
"321",1,3,27,247,250,147,1,2,4,6597.04022988506
"322",1,3,27,293,226,141,1,0,2,4654.13793103448
"323",1,3,27,229,228,133,1,1,0,6126.4367816092
"324",1,3,27,234,240,147,0,1,1,5962.64367816092
"325",1,3,28,262,264,140,0,1,2,6247.08333333333
"326",1,3,28,306,232,147,2,0,2,5971.47988505747
"327",1,3,28,280,234,139,0,1,4,6914.02298850575
"328",1,3,28,342,243,133,0,0,1,6789.88505747126
"329",1,3,28,226,238,136,1,4,4,8206.03448275862
"330",1,3,28,214,252,144,0,2,4,5922.06896551724
"331",1,3,28,316,233,143,0,2,6,4619.79885057471
"332",1,3,28,330,254,148,0,2,6,5993.24712643678
"333",1,3,28,201,271,154,1,1,7,7839.8275862069
"334",1,3,28,331,228,138,0,0,6,5168.10344827586
"335",1,3,28,220,223,132,1,0,4,8054.72701149425
"336",1,3,28,329,244,137,1,0,7,8685.87643678161
"337",1,3,29,232,229,127,0,1,8,7271.89655172414
"338",1,3,29,245,237,130,0,1,1,6979.91379310345
"339",1,3,29,336,252,142,1,0,4,7150.28735632184
"340",1,3,29,302,240,132,0,2,6,6232.5
"341",1,3,29,213,234,133,3,0,7,5996.16379310345
"342",1,3,29,321,263,142,0,1,8,8151.17816091954
"343",1,3,29,323,250,141,2,0,2,6637.41379310345
"344",1,3,29,244,238,134,2,0,1,6612.41379310345
"345",1,3,29,243,247,146,0,0,2,6005.74712643678
"346",1,3,29,241,251,147,0,0,1,4930.97701149425
"347",1,3,29,215,221,133,2,1,3,7724.54022988506
"348",1,3,29,208,233,133,1,0,1,4165.60344827586
"349",1,3,30,224,253,145,1,0,4,5404.22413793104
"350",1,3,30,300,243,142,0,0,3,5249.02298850575
"351",1,3,30,287,240,139,1,0,3,6283.10344827586
"352",1,3,30,260,250,148,4,1,3,7887.70114942529
"353",1,3,30,283,270,151,1,0,6,7420.50287356322
"354",1,3,30,333,243,145,0,0,3,5501.45114942529
"355",1,3,30,325,252,138,0,1,5,7777.83045977012
"356",1,3,30,276,262,153,4,0,4,6466.55172413793
"357",1,3,30,230,249,136,0,1,6,8898.62068965517
"358",1,3,30,279,223,137,1,0,3,6467.12643678161
"359",1,3,30,216,219,136,1,1,7,7357.90229885058
"360",1,3,30,288,242,133,0,0,6,7462.28448275862
"361",1,3,31,256,223,130,0,1,10,5150
"362",1,3,31,327,254,135,0,0,4,5638.47701149425
